"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-25,"AN",8464411,17.838,7062213,17.598,662310,144200,36300,842810,9.957,18.692,0,0,0,0,93600,69700,0,163300,1.929,688093,244979,443114,8.129,81.643,20.025,34174,0.404,5.226,181120,2.14,7.652,27.719,466536,244979,221557,5.512,2.618,2.894,6.606,3.137,3.469,31584,2590,0.373,0.031,28994,162194,18926,1.916,0.224,2.297,0.268,143268,7.261,9.893,1.183,-8.362,12.26,4.788,18.64,0.847
"AR",2021-02-25,"AR",1329391,2.802,1132764,2.823,112635,22600,6300,141535,10.647,3.139,0,0,0,0,16380,10900,0,27280,2.052,120420,30952,89468,9.058,85.081,3.504,5001,0.376,4.333,18464,1.389,0.174,2.826,75686,30952,44734,5.693,3.365,2.328,6.682,3.949,2.732,4462,539,0.336,0.041,3923,14675,3789,1.104,0.285,1.296,0.334,10886,6.265,5.492,1.22,-16.191,25.054,12.027,22.536,29.622
"AS",2021-02-25,"AS",1018784,2.147,901209,2.246,112055,17400,6300,135755,13.325,3.011,0,0,0,0,14040,8400,0,22440,2.203,109192,31760,77432,10.718,80.433,3.178,5178,0.508,4.978,23734,2.33,13.636,3.632,70476,31760,38716,6.918,3.8,3.117,7.82,4.296,3.524,4885,293,0.479,0.029,4592,20269,3465,1.99,0.34,2.249,0.384,16804,7.448,19.012,0.763,-10.117,48.02,40.242,48.902,46.379
"IB",2021-02-25,"IB",1171543,2.469,986279,2.458,56520,19900,3200,79620,6.796,1.766,0,0,0,0,7020,9600,0,16620,1.419,55834,13884,41950,4.766,70.126,1.625,1678,0.143,3.098,9010,0.769,2.293,1.379,34859,13884,20975,2.975,1.79,1.185,3.534,2.127,1.408,1279,399,0.109,0.034,880,7941,1069,0.678,0.091,0.805,0.108,6872,3.809,4.583,1.939,-12.016,-34.184,-28.473,-35.966,-31.048
"CN",2021-02-25,"CN",2175952,4.586,1871033,4.662,129840,37100,7000,173940,7.994,3.858,0,0,0,0,18720,17900,0,36620,1.683,133624,31378,102246,6.141,76.822,3.889,5830,0.268,4.562,21727,0.999,15.921,3.325,82501,31378,51123,3.791,2.349,1.442,4.409,2.732,1.677,4774,1056,0.219,0.049,3718,17403,4324,0.8,0.199,0.93,0.231,13079,6.142,25.066,2.109,-10.439,-15.198,-15.874,-18.403,-9.515
"CB",2021-02-25,"CB",582905,1.228,501384,1.249,55725,9900,2900,68525,11.756,1.52,0,0,0,0,8190,4800,0,12990,2.228,53706,13670,40036,9.214,78.374,1.563,2408,0.413,4.694,9006,1.545,21.95,1.378,33688,13670,20018,5.779,3.434,2.345,6.719,3.993,2.726,2353,55,0.404,0.009,2298,8106,900,1.391,0.154,1.617,0.18,7206,7.509,25.015,0.276,-0.111,27.28,23.779,24.387,32.28
"CL",2021-02-25,"CL",2394918,5.047,2092873,5.215,246585,40800,13500,300885,12.563,6.673,0,0,0,0,35100,19700,0,54800,2.288,236901,60759,176142,9.892,78.735,6.894,7418,0.31,3.232,34439,1.438,3.461,5.271,148830,60759,88071,6.214,3.677,2.537,7.111,4.208,2.903,6691,727,0.279,0.03,5964,29560,4879,1.234,0.204,1.412,0.233,24681,4.707,8.021,0.832,-17.612,36.596,32.217,33.749,41.641
"CM",2021-02-25,"CM",2045221,4.31,1719964,4.286,167175,34800,9200,211175,10.325,4.684,0,0,0,0,23400,16800,0,40200,1.966,154252,22720,131532,7.542,73.045,4.489,3893,0.19,2.589,16814,0.822,-4.666,2.573,88486,22720,65766,4.326,3.216,1.111,5.145,3.824,1.321,3047,846,0.149,0.041,2201,9383,7431,0.459,0.363,0.546,0.432,1952,3.566,14.931,1.303,-21.556,4.153,8.677,-6.888,23.883
"CT",2021-02-25,"CT",7780479,16.397,6531658,16.276,570410,132700,31400,734510,9.44,16.29,0,0,0,0,80730,64100,0,144830,1.861,572114,203354,368760,7.353,77.891,16.65,41098,0.528,7.74,128933,1.657,24.584,19.732,387734,203354,184380,4.983,2.37,2.614,5.936,2.823,3.113,40072,1026,0.515,0.013,39046,114982,13951,1.478,0.179,1.76,0.214,101031,11.526,30.083,0.56,-7.609,1.543,-0.653,7.254,-8.706
"VC",2021-02-25,"VC",5057353,10.658,4269305,10.639,288010,86200,15700,389910,7.71,8.648,0,0,0,0,40950,41700,0,82650,1.634,301372,99786,201586,5.959,77.293,8.771,14410,0.285,5.022,67544,1.336,14.906,10.337,200579,99786,100793,3.966,1.993,1.973,4.698,2.361,2.337,13826,584,0.273,0.012,13242,63475,4069,1.255,0.08,1.487,0.095,59406,7.403,16.227,0.583,-2.399,-17.705,-18.859,-14.636,-23.228
