"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-19,"AN",8464411,17.838,7062213,17.598,568710,74500,36300,679510,8.028,18.76,0,0,0,0,93600,40000,0,133600,1.578,561803,144361,417442,6.637,82.678,19.135,54830,0.648,10.815,48740,6090,130161,1.538,41.544,25.374,353082,208721,144361,4.171,2.466,5,2.955,48740,6090,0.576,0.072,98171,31990,1.16,0.378,1.39,0.453,16.015,70.988,3.005,-7.393,7.271,5.169,12.124,-0.081
"AR",2021-02-19,"AR",1329391,2.802,1132764,2.823,96255,11700,6300,114255,8.595,3.154,0,0,0,0,15210,6300,0,21510,1.618,106629,21771,84858,8.021,93.325,3.632,4673,0.352,4.583,3189,1484,18332,1.379,4.94,3.574,64200,42429,21771,4.829,3.192,5.668,3.746,3189,1484,0.24,0.112,11562,6770,0.87,0.509,1.021,0.598,5.227,21.577,3.624,-14.939,29.622,12.562,29.812,29.335
"AS",2021-02-19,"AS",1018784,2.147,901209,2.246,98015,9000,6300,113315,11.123,3.128,0,0,0,0,14040,4800,0,18840,1.849,90123,17339,72784,8.846,79.533,3.07,4665,0.458,5.459,3524,1141,11677,1.146,40.856,2.276,53731,36392,17339,5.274,3.572,5.962,4.038,3524,1141,0.346,0.112,8231,3446,0.808,0.338,0.913,0.382,7.019,43.272,3.237,35.403,42.99,45.692,41.774,44.733
"IB",2021-02-19,"IB",1171543,2.469,986279,2.458,49500,10300,3200,63000,5.378,1.739,0,0,0,0,7020,5500,0,12520,1.069,50921,9923,40998,4.346,80.827,1.734,4097,0.35,8.75,3504,593,10297,0.879,31.088,2.007,30422,20499,9923,2.597,1.75,3.085,2.078,3504,593,0.299,0.051,6481,3816,0.553,0.326,0.657,0.387,13.017,83.858,2.979,-11.871,-29.769,-29.567,-30.188,-29.092
"CN",2021-02-19,"CN",2175952,4.586,1871033,4.662,111120,19200,7000,137320,6.311,3.791,0,0,0,0,17550,10300,0,27850,1.28,115542,18024,97518,5.31,84.141,3.935,3645,0.168,3.257,1685,1960,16226,0.746,-36.193,3.163,66783,48759,18024,3.069,2.241,3.569,2.606,1685,1960,0.077,0.09,8246,7980,0.379,0.367,0.441,0.427,2.588,-4.094,4.188,-52.59,-14.195,-17.335,-17.5,-9.198
"CB",2021-02-19,"CB",582905,1.228,501384,1.249,47535,5100,2900,55535,9.527,1.533,0,0,0,0,8190,2700,0,10890,1.868,45835,7083,38752,7.863,82.534,1.561,1135,0.195,2.539,877,258,6128,1.051,-5.476,1.195,26459,19376,7083,4.539,3.324,5.277,3.865,877,258,0.15,0.044,4230,1898,0.726,0.326,0.844,0.379,3.428,16.722,1.35,-33.613,27.117,24.837,22.016,34.684
"CL",2021-02-19,"CL",2394918,5.047,2092873,5.215,211485,21100,13500,246085,10.275,6.794,0,0,0,0,33930,11300,0,45230,1.889,208907,40803,168104,8.723,84.892,7.115,6445,0.269,3.183,5585,860,30076,1.256,1.008,5.863,124855,84052,40803,5.213,3.51,5.966,4.016,5585,860,0.233,0.036,21457,8619,0.896,0.36,1.025,0.412,4.683,12.765,1.034,-19.808,40.975,34.615,40.134,42.22
"CM",2021-02-19,"CM",2045221,4.31,1719964,4.286,143775,18000,9200,170975,8.36,4.72,0,0,0,0,23400,9700,0,33100,1.618,140140,20450,119690,6.852,81.965,4.773,2702,0.132,1.966,1192,1510,22469,1.099,-5.596,4.38,80295,59845,20450,3.926,2.926,4.668,3.479,1192,1510,0.058,0.074,4314,18155,0.211,0.888,0.251,1.056,1.507,17.966,2.588,-9.874,10.742,9.513,5.538,18.558
"CT",2021-02-19,"CT",7780479,16.397,6531658,16.276,489680,68600,31400,589680,7.579,16.28,0,0,0,0,79560,36800,0,116360,1.496,465569,112997,352572,5.984,78.953,15.857,22388,0.288,5.052,16531,5857,89050,1.145,4.389,17.36,289283,176286,112997,3.718,2.266,4.429,2.699,16531,5857,0.212,0.075,64855,24195,0.834,0.311,0.993,0.37,6.061,6.396,3.437,-0.637,-3.293,-0.714,-0.054,-8.185
"VC",2021-02-19,"VC",5057353,10.658,4269305,10.639,247060,44500,15700,307260,6.076,8.483,0,0,0,0,39780,23900,0,63680,1.259,254502,59734,194768,5.032,82.83,8.668,20674,0.409,8.842,20014,660,40492,0.801,58.258,7.894,157118,97384,59734,3.107,1.926,3.68,2.281,20014,660,0.396,0.013,35541,4951,0.703,0.098,0.832,0.116,14.598,81.128,0.682,-16.985,-18.671,-20.407,-16.478,-21.961
