"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-04-12,"AN",8464411,17.838,7062213,17.598,1283580,564800,168000,2016380,23.822,16.812,0,0,0,0,184860,183200,0,368060,4.348,1865200,784872,1080328,22.036,92.502,17.294,29487,0.348,1.606,348177,4.113,6.994,17.057,1325036,784872,540164,15.654,6.382,9.273,18.762,7.649,11.114,28078,1409,0.332,0.017,26669,330054,18123,3.899,0.214,4.674,0.257,311931,2.165,6.939,0.262,8.01,-3.05,-5.752,-3.239,-2.58
"AR",2021-04-12,"AR",1329391,2.802,1132764,2.823,250695,88700,35300,374695,28.185,3.124,0,0,0,0,40950,28800,0,69750,5.247,312544,108240,204304,23.51,83.413,2.898,3057,0.23,0.988,46895,3.528,6.937,2.297,210392,108240,102152,15.826,7.684,8.142,18.573,9.018,9.555,2897,160,0.218,0.012,2737,41555,5340,3.126,0.402,3.668,0.471,36215,1.396,7.48,0.157,2.89,3.426,11.492,-2.176,17.295
"AS",2021-04-12,"AS",1018784,2.147,901209,2.246,241925,68000,32700,342625,33.631,2.857,0,0,0,0,38610,22000,0,60610,5.949,301677,107231,194446,29.611,88.049,2.797,6274,0.616,2.124,51545,5.059,4.53,2.525,204454,107231,97223,20.068,9.543,10.525,22.687,10.788,11.899,5800,475,0.569,0.047,5325,47116,4429,4.625,0.435,5.228,0.491,42687,2.92,5.203,0.491,-2.1,30.275,33.069,24.045,45.672
"IB",2021-04-12,"IB",1171543,2.469,986279,2.458,140760,78000,18000,236760,20.209,1.974,0,0,0,0,28080,25300,0,53380,4.556,218353,104531,113822,18.638,92.225,2.025,6197,0.529,2.921,43045,3.674,13.294,2.109,161442,104531,56911,13.78,4.858,8.923,16.369,5.77,10.599,5580,617,0.476,0.053,4963,35488,7557,3.029,0.645,3.598,0.766,27931,3.58,14.5,1.096,7.957,-17.983,-20.049,-14.823,-25.843
"CN",2021-04-12,"CN",2175952,4.586,1871033,4.662,276090,145200,35800,457090,21.006,3.811,0,0,0,0,43290,47100,0,90390,4.154,387610,156902,230708,17.813,84.799,3.594,6508,0.299,1.708,63730,2.929,6.259,3.122,272256,156902,115354,12.512,5.301,7.211,14.551,6.165,8.386,6212,296,0.285,0.014,5916,57588,6142,2.647,0.282,3.078,0.328,51446,2.335,6.676,0.257,2.503,-21.631,-16.899,-22.66,-19.081
"CB",2021-04-12,"CB",582905,1.228,501384,1.249,115395,38800,15300,169495,29.078,1.413,0,0,0,0,17550,12600,0,30150,5.172,140961,50269,90692,24.182,83.165,1.307,2523,0.433,1.822,20210,3.467,12.937,0.99,95615,50269,45346,16.403,7.779,8.624,19.07,9.044,10.026,2417,106,0.415,0.018,2311,19678,532,3.376,0.091,3.925,0.106,19146,2.593,12.645,0.234,24.883,6.433,15.065,1.391,18.745
"CL",2021-04-12,"CL",2394918,5.047,2092873,5.215,555465,159900,78300,793665,33.14,6.617,0,0,0,0,92430,51800,0,144230,6.022,695126,228646,466480,29.025,87.584,6.445,12665,0.529,1.856,122352,5.109,6.622,5.994,461886,228646,233240,19.286,9.739,9.547,22.069,11.144,10.925,11514,1151,0.481,0.048,10363,97450,24902,4.069,1.04,4.656,1.19,72548,2.557,7.102,0.496,4.789,27.7,31.108,19.211,48.664
"CM",2021-04-12,"CM",2045221,4.31,1719964,4.286,356715,136400,49600,542715,26.536,4.525,0,0,0,0,56160,44200,0,100360,4.907,483319,178899,304420,23.632,89.056,4.481,6611,0.323,1.387,91521,4.475,2.069,4.483,331109,178899,152210,16.189,7.442,8.747,19.251,8.85,10.401,5853,758,0.286,0.037,5095,70511,21010,3.448,1.027,4.1,1.222,49501,1.8,1.796,0.5,3,3.968,4.988,0.068,13.601
"CT",2021-04-12,"CT",7780479,16.397,6531658,16.276,1220930,519100,168400,1908430,24.528,15.912,0,0,0,0,193050,168300,0,361350,4.644,1733884,818052,915832,22.285,90.854,16.077,23072,0.297,1.349,292620,3.761,-6.706,14.335,1275968,818052,457916,16.4,5.885,10.514,19.535,7.011,12.524,21147,1925,0.272,0.025,19222,274521,18099,3.528,0.233,4.203,0.277,256422,1.685,-6.41,0.422,-10.965,-1.952,-2.958,1.372,-10.166
"VC",2021-04-12,"VC",5057353,10.658,4269305,10.639,711550,337500,96800,1145850,22.657,9.554,0,0,0,0,125190,109400,0,234590,4.639,1035842,467628,568214,20.482,90.399,9.604,0,0,0,165156,3.266,-1.817,8.091,751735,467628,284107,14.864,5.618,9.246,17.608,6.655,10.953,-1,0,0,0,-1,143909,21247,2.846,0.42,3.371,0.498,122662,0,-1.881,0,-1.383,-9.889,-10.358,-8.122,-14.242
