"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-27,"AN",8464411,17.838,7062213,17.598,662310,144200,36300,842810,9.957,NA,0,0,0,0,93600,69700,0,163300,1.929,739556,286973,452583,8.737,NA,20.095,15171,0.179,2.094,13947,1224,162503,1.92,-0.049,23.456,513265,226292,286973,NA,NA,NA,NA,13948,1224,0.165,0.014,147050,15455,1.737,0.183,2.082,0.219,2.793,0.557,0.544,-5.457,12.653,NA,NA,NA
"AR",2021-02-27,"AR",1329391,2.802,1132764,2.823,112635,22600,6300,141535,10.647,NA,0,0,0,0,16380,10900,0,27280,2.052,127593,35137,92456,9.598,NA,3.467,1265,0.095,1.001,968,297,20068,1.51,1.873,2.897,81365,46228,35137,NA,NA,NA,NA,968,297,0.073,0.022,16412,3655,1.235,0.275,1.449,0.323,1.204,1.327,0.647,4.369,23.733,NA,NA,NA
"AS",2021-02-27,"AS",1018784,2.147,901209,2.246,112055,17400,6300,135755,13.325,NA,0,0,0,0,14040,8400,0,22440,2.203,111838,34073,77765,10.978,NA,3.039,2646,0.26,2.423,2480,166,19648,1.929,3.036,2.836,72955,38882,34073,NA,NA,NA,NA,2479,166,0.243,0.016,17574,2072,1.725,0.203,1.95,0.23,3.518,4.951,0.429,-10.843,41.546,NA,NA,NA
"IB",2021-02-27,"IB",1171543,2.469,986279,2.458,56520,19900,3200,79620,6.796,NA,0,0,0,0,7020,9600,0,16620,1.419,58642,15843,42799,5.006,NA,1.593,1350,0.115,2.356,1075,275,7121,0.608,11.772,1.028,37243,21399,15844,NA,NA,NA,NA,1075,275,0.092,0.023,6238,883,0.532,0.075,0.632,0.09,2.972,8.562,1.302,41.28,-35.48,NA,NA,NA
"CN",2021-02-27,"CN",2175952,4.586,1871033,4.662,129840,37100,7000,173940,7.994,NA,0,0,0,0,18720,17900,0,36620,1.683,141078,38473,102605,6.484,NA,3.833,2521,0.116,1.819,2449,72,24241,1.114,5.327,3.499,89775,51303,38472,NA,NA,NA,NA,2449,72,0.113,0.003,22028,2213,1.012,0.102,1.177,0.118,2.804,7.229,0.141,-10.477,-16.42,NA,NA,NA
"CB",2021-02-27,"CB",582905,1.228,501384,1.249,55725,9900,2900,68525,11.756,NA,0,0,0,0,8190,4800,0,12990,2.228,57307,16557,40750,9.831,NA,1.557,918,0.157,1.628,889,29,10743,1.843,1.791,1.551,36932,20375,16557,NA,NA,NA,NA,889,29,0.153,0.005,9888,854,1.696,0.147,1.972,0.17,2.466,3.172,0.143,-11.959,26.792,NA,NA,NA
"CL",2021-02-27,"CL",2394918,5.047,2092873,5.215,246585,40800,13500,300885,12.563,NA,0,0,0,0,35100,19700,0,54800,2.288,249607,71254,178353,10.422,NA,6.782,3936,0.164,1.602,3551,385,37585,1.569,2.233,5.425,160430,89177,71253,NA,NA,NA,NA,3551,385,0.148,0.016,32979,4606,1.377,0.192,1.576,0.22,2.264,2.982,0.434,-2.827,34.377,NA,NA,NA
"CM",2021-02-27,"CM",2045221,4.31,1719964,4.286,167175,34800,9200,211175,10.325,NA,0,0,0,0,23400,16800,0,40200,1.966,161136,26055,135081,7.879,NA,4.378,901,0.044,0.562,305,596,19928,0.974,-0.831,2.876,93596,67541,26055,NA,NA,NA,NA,306,596,0.015,0.029,12822,7107,0.627,0.347,0.745,0.413,0.328,-1.331,0.89,0.099,1.578,NA,NA,NA
"CT",2021-02-27,"CT",7780479,16.397,6531658,16.276,570410,132700,31400,734510,9.44,NA,0,0,0,0,80730,64100,0,144830,1.861,626141,252378,373763,8.048,NA,17.014,12093,0.155,1.969,11479,614,152291,1.957,2.567,21.982,439259,186882,252377,NA,NA,NA,NA,11479,614,0.148,0.008,142965,9326,1.837,0.12,2.189,0.143,2.683,3.226,0.33,-6.572,3.763,NA,NA,NA
"VC",2021-02-27,"VC",5057353,10.658,4269305,10.639,288010,86200,15700,389910,7.71,NA,0,0,0,0,40950,41700,0,82650,1.634,316618,113501,203117,6.261,NA,8.603,3443,0.068,1.099,3214,229,56948,1.126,-2.94,8.22,215060,101559,113501,NA,NA,NA,NA,3215,229,0.064,0.005,53181,3768,1.052,0.075,1.246,0.088,1.518,-2.825,0.226,-4.511,-19.281,NA,NA,NA
