"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-30,"AN",8464411,17.838,7062213,17.598,324180,0,6800,330980,3.91,NA,0,0,0,0,79560,0,0,79560,0.94,288594,217373,142441,3.409,NA,18.996,5599,1889,7419,0.066,1.978,73314,24495,97636,0.866,0.116,22.252,217373,146153,71221,NA,NA,1.727,NA,NA,2.07,1889,3710,0.022,0.044,24495,48818,0.289,0.577,0.347,0.691,0.877,-7.789,5.495,4.614,6.492,NA,NA,NA
"AR",2021-01-30,"AR",1329391,2.802,1132764,2.823,55305,0,1200,56505,4.25,NA,0,0,0,0,14040,0,0,14040,1.056,54389,44433,19912,4.091,NA,3.58,452,248,408,0.034,0.838,12685,4913,15544,0.954,0.277,3.85,44433,34477,9956,NA,NA,2.593,NA,NA,3.044,248,204,0.019,0.015,4913,7772,0.37,0.585,0.434,0.686,0.561,-2.963,2.092,2.438,27.766,NA,NA,NA
"AS",2021-01-30,"AS",1018784,2.147,901209,2.246,58235,0,1200,59435,5.834,NA,0,0,0,0,14040,0,0,14040,1.378,54650,37314,34671,5.364,NA,3.597,1731,661,2139,0.17,3.271,12365,2606,19516,1.214,7.954,3.753,37314,19979,17336,NA,NA,1.961,NA,NA,2.217,661,1070,0.065,0.105,2606,9759,0.256,0.958,0.289,1.083,1.803,27.808,6.578,3.654,67.536,NA,NA,NA
"IB",2021-01-30,"IB",1171543,2.469,986279,2.458,29610,0,600,30210,2.579,NA,0,0,0,0,7020,0,0,7020,0.599,25214,20707,9013,2.152,NA,1.66,173,35,275,0.015,0.691,4187,2358,3658,0.357,-7.816,1.271,20707,16200,4507,NA,NA,1.383,NA,NA,1.643,35,138,0.003,0.012,2358,1829,0.201,0.156,0.239,0.185,0.169,-16.767,3.159,7.022,-32.766,NA,NA,NA
"CN",2021-01-30,"CN",2175952,4.586,1871033,4.662,64320,0,1300,65620,3.016,NA,0,0,0,0,18135,0,0,18135,0.833,61612,51930,19363,2.831,NA,4.056,1432,522,1819,0.066,2.38,13530,7089,12881,0.622,3.188,4.107,51930,42248,9682,NA,NA,1.942,NA,NA,2.258,522,910,0.024,0.042,7089,6441,0.326,0.296,0.379,0.344,1.015,-1.61,10.374,9.04,-11.557,NA,NA,NA
"CB",2021-01-30,"CB",582905,1.228,501384,1.249,27645,0,500,28145,4.828,NA,0,0,0,0,7020,0,0,7020,1.204,22303,20774,3057,3.826,NA,1.468,662,57,1209,0.114,3.059,1841,553,2575,0.316,56.149,0.559,20774,19246,1528,NA,NA,3.302,NA,NA,3.839,57,604,0.01,0.104,553,1287,0.095,0.221,0.11,0.257,0.275,11.492,65.368,88.433,19.544,NA,NA,NA
"CL",2021-01-30,"CL",2394918,5.047,2092873,5.215,121395,0,2500,123895,5.173,NA,0,0,0,0,28080,0,0,28080,1.172,117904,89742,56324,4.923,NA,7.761,3161,19,6284,0.132,2.755,28972,8047,41849,1.21,2.111,8.794,89742,61580,28162,NA,NA,2.571,NA,NA,2.942,19,3142,0.001,0.131,8047,20924,0.336,0.874,0.384,1,0.021,-14.512,12.558,10.359,53.775,NA,NA,NA
"CM",2021-01-30,"CM",2045221,4.31,1719964,4.286,82935,0,1700,84635,4.138,NA,0,0,0,0,21060,0,0,21060,1.03,80045,65901,28288,3.914,NA,5.269,2280,622,3316,0.111,2.932,21562,9149,24825,1.054,3.993,6.545,65901,51757,14144,NA,NA,2.531,NA,NA,3.009,622,1658,0.03,0.081,9149,12413,0.447,0.607,0.532,0.722,0.953,-7.032,13.279,13.954,22.251,NA,NA,NA
"CT",2021-01-30,"CT",7780479,16.397,6531658,16.276,280250,0,5800,286050,3.677,NA,0,0,0,0,69030,0,0,69030,0.887,233900,190058,87683,3.006,NA,15.396,11328,2910,16835,0.146,5.09,56876,18259,77234,0.731,15.075,17.263,190058,146217,43841,NA,NA,1.879,NA,NA,2.239,2910,8417,0.037,0.108,18259,38616,0.235,0.496,0.28,0.591,1.555,0.867,23.761,23.283,-6.105,NA,NA,NA
"VC",2021-01-30,"VC",5057353,10.658,4269305,10.639,142930,0,2900,145830,2.884,NA,0,0,0,0,33930,0,0,33930,0.671,120218,101541,37353,2.377,NA,7.913,7946,586,14719,0.157,7.077,16451,2044,28813,0.325,85.971,4.993,101541,82865,18676,NA,NA,1.639,NA,NA,1.941,586,7359,0.012,0.146,2044,14406,0.04,0.285,0.048,0.337,0.58,22.542,65.026,100.697,-25.755,NA,NA,NA
