"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-20,"AN",8464411,17.838,7062213,17.598,899820,343800,111200,1354820,16.006,NA,0,0,0,0,79560,40500,37900,157960,1.866,1174235,347309,826926,13.873,NA,19.07,5393,0.064,0.461,2041,3352,110427,1.305,-9.861,15.608,760772,413463,347309,8.988,4.885,NA,NA,2041,3352,0.024,0.04,31006,79421,0.366,0.938,0.439,1.125,0.269,-11.452,0.817,-9.225,6.907,NA,2.556,15.978
"AR",2021-03-20,"AR",1329391,2.802,1132764,2.823,165285,54000,21700,240985,18.127,NA,0,0,0,0,17550,6400,9100,33050,2.486,200713,61771,138942,15.098,NA,3.26,2887,0.217,1.459,1614,1273,24908,1.874,2.439,3.521,131242,69471,61771,9.872,5.226,NA,NA,1614,1273,0.121,0.096,12067,12841,0.908,0.966,1.065,1.134,1.245,2.047,1.867,2.81,16.345,NA,12.643,24.074
"AS",2021-03-20,"AS",1018784,2.147,901209,2.246,161195,41500,20700,223395,21.928,NA,0,0,0,0,16380,4900,8000,29280,2.874,181730,40117,141613,17.838,NA,2.951,2298,0.226,1.281,947,1351,26741,2.625,-6.81,3.78,110924,70806,40118,10.888,6.95,NA,NA,946,1351,0.093,0.133,8925,17816,0.876,1.749,0.99,1.977,0.86,-14.773,1.945,-2.239,37.448,NA,24.236,65.005
"IB",2021-03-20,"IB",1171543,2.469,986279,2.458,86940,47500,11100,145540,12.423,NA,0,0,0,0,10530,5600,4600,20730,1.769,120786,52078,68708,10.31,NA,1.962,1876,0.16,1.578,1122,754,16900,1.443,-2.442,2.389,86432,34354,52078,7.378,2.932,NA,NA,1121,754,0.096,0.064,12103,4797,1.033,0.409,1.227,0.486,1.314,-3.044,2.244,-0.909,-20.535,NA,-15.815,-30.389
"CN",2021-03-20,"CN",2175952,4.586,1871033,4.662,186000,88400,22900,297300,13.663,NA,0,0,0,0,18720,10400,8600,37720,1.733,233047,80608,152439,10.71,NA,3.785,2333,0.107,1.011,753,1580,27324,1.256,-8.185,3.862,156828,76220,80608,7.207,3.503,NA,NA,754,1580,0.035,0.073,12669,14656,0.582,0.674,0.677,0.783,0.483,-18.97,2.117,3.759,-17.466,NA,-17.766,-16.833
"CB",2021-03-20,"CB",582905,1.228,501384,1.249,79125,23600,9700,112425,19.287,NA,0,0,0,0,8190,2800,3800,14790,2.537,87582,20054,67528,15.025,NA,1.422,1238,0.212,1.434,45,1193,11821,2.028,1.932,1.671,53818,33764,20054,9.233,5.792,NA,NA,45,1193,0.008,0.205,2122,9699,0.364,1.664,0.423,1.934,0.084,-18.29,3.663,7.767,15.798,NA,5.351,37.512
"CL",2021-03-20,"CL",2394918,5.047,2092873,5.215,364755,97300,47700,509755,21.285,NA,0,0,0,0,39780,11500,20400,71680,2.993,407310,124775,282535,17.007,NA,6.615,9002,0.376,2.26,3248,5754,48048,2.006,6.992,6.791,266042,141268,124774,11.109,5.899,NA,NA,3248,5754,0.136,0.24,23993,24055,1.002,1.004,1.146,1.149,1.236,-1.47,4.246,17.016,31.068,NA,26.757,40.052
"CM",2021-03-20,"CM",2045221,4.31,1719964,4.286,239715,83100,31000,353815,17.3,NA,0,0,0,0,24570,9800,12400,46770,2.287,261214,80931,180283,12.772,NA,4.242,3363,0.164,1.304,1588,1775,28165,1.377,5.868,3.981,171073,90142,80931,8.365,4.407,NA,NA,1589,1775,0.078,0.087,16652,11514,0.814,0.563,0.968,0.669,0.938,1.173,2.009,13.494,-1.578,NA,-4.553,4.63
"CT",2021-03-20,"CT",7780479,16.397,6531658,16.276,819620,316100,105400,1241120,15.952,NA,0,0,0,0,84240,37200,42000,163440,2.101,960631,357735,602896,12.347,NA,15.601,22709,0.292,2.421,2414,20295,93357,1.2,15.418,13.195,659183,301448,357735,8.472,3.874,NA,NA,2414,20295,0.031,0.261,24130,69226,0.31,0.89,0.369,1.06,0.368,-10.334,7.218,28.256,-4.855,NA,-3.332,-8.025
"VC",2021-03-20,"VC",5057353,10.658,4269305,10.639,450640,205400,57800,713840,14.115,NA,0,0,0,0,54990,24100,26100,105190,2.08,545340,170206,375134,10.783,NA,8.856,7464,0.148,1.388,2079,5385,74796,1.479,3.471,10.572,357773,187567,170206,7.074,3.709,NA,NA,2079,5385,0.041,0.106,33772,41024,0.668,0.811,0.791,0.961,0.584,1.692,2.956,4.982,-16.907,NA,-19.283,-11.942
