"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-17,"AN",8464411,17.838,7062213,17.598,899820,343800,111200,1354820,16.006,17.631,79560,40500,37900,157960,79560,40500,37900,157960,1.866,1135990,752784,766412,13.421,83.848,19.395,22576,2561,40030,0.267,2.028,164299,56153,216292,1.941,1.265,18.938,752784,369578,383206,8.894,4.527,4.366,10.659,5.426,5.233,2561,20015,0.03,0.236,56153,108146,0.663,1.278,0.795,1.531,0.341,-9.672,5.511,8.06,8.729,-1.16,4.145,19.038
"AR",2021-03-17,"AR",1329391,2.802,1132764,2.823,165285,54000,21700,240985,18.127,3.136,17550,6400,9100,33050,17550,6400,9100,33050,2.486,188111,125435,125352,14.15,78.059,3.212,5212,1330,7764,0.392,2.85,29689,18498,22382,2.233,9.436,3.422,125435,62759,62676,9.436,4.715,4.721,11.073,5.533,5.54,1330,3882,0.1,0.292,18498,11191,1.391,0.842,1.633,0.988,1.072,-1.36,6.603,33.608,14.632,11.92,10.492,23.981
"AS",2021-03-17,"AS",1018784,2.147,901209,2.246,161195,41500,20700,223395,21.928,2.907,16380,4900,8000,29280,16380,4900,8000,29280,2.874,171655,108244,126822,16.849,76.839,2.931,5583,515,10136,0.548,3.362,30870,13336,35068,3.03,3.608,3.558,108244,44833,63411,10.625,6.224,4.401,12.011,7.036,4.975,515,5068,0.051,0.497,13336,17534,1.309,1.721,1.48,1.946,0.478,-18.935,8.687,31.4,36.516,35.398,24.415,63.66
"IB",2021-03-17,"IB",1171543,2.469,986279,2.458,86940,47500,11100,145540,12.423,1.894,10530,5600,4600,20730,10530,5600,4600,20730,1.769,112889,81308,63162,9.636,77.566,1.927,2281,2022,518,0.195,2.062,23785,16990,13590,2.03,-0.431,2.742,81308,49727,31581,6.94,2.696,4.245,8.244,3.202,5.042,2022,259,0.173,0.022,16990,6795,1.45,0.58,1.723,0.689,2.55,-1.513,0.827,2.381,-21.952,-23.289,-18.735,-29.109
"CN",2021-03-17,"CN",2175952,4.586,1871033,4.662,186000,88400,22900,297300,13.663,3.869,18720,10400,8600,37720,18720,10400,8600,37720,1.733,223811,154477,138668,10.286,75.281,3.821,4217,541,7352,0.194,1.92,36940,24610,24660,1.698,-6.632,4.258,154477,85143,69334,7.099,3.186,3.913,8.256,3.706,4.551,541,3676,0.025,0.169,24610,12330,1.131,0.567,1.315,0.659,0.351,-17.604,5.599,27.166,-16.681,-15.635,-16.874,-16.224
"CB",2021-03-17,"CB",582905,1.228,501384,1.249,79125,23600,9700,112425,19.287,1.463,8190,2800,3800,14790,8190,2800,3800,14790,2.537,81573,53508,56130,13.994,72.558,1.393,2290,122,4336,0.393,2.888,11340,4956,12768,1.945,5.283,1.307,53508,25443,28065,9.18,4.815,4.365,10.672,5.598,5.075,122,2168,0.021,0.372,4956,6384,0.85,1.095,0.988,1.273,0.229,-18.661,8.372,36.469,13.436,19.137,7.494,26.611
"CL",2021-03-17,"CL",2394918,5.047,2092873,5.215,364755,97300,47700,509755,21.285,6.634,39780,11500,20400,71680,39780,11500,20400,71680,2.993,389307,259547,259520,16.256,76.371,6.647,9079,4208,9742,0.379,2.388,64011,40197,47628,2.673,-2.819,7.378,259547,129787,129760,10.837,5.418,5.419,12.401,6.2,6.201,4208,4871,0.176,0.203,40197,23814,1.678,0.994,1.921,1.138,1.648,-7.205,3.9,5.605,31.702,31.444,26.897,42.466
"CM",2021-03-17,"CM",2045221,4.31,1719964,4.286,239715,83100,31000,353815,17.3,4.604,24570,9800,12400,46770,24570,9800,12400,46770,2.287,245270,162707,165126,11.992,69.322,4.188,6185,3736,4898,0.302,2.587,33037,24413,17248,1.615,-2.666,3.808,162707,80144,82563,7.955,4.037,3.919,9.46,4.8,4.66,3736,2449,0.183,0.12,24413,8624,1.194,0.422,1.419,0.501,2.35,-9.181,3.057,22.136,-2.831,6.821,-6.85,6.153
"CT",2021-03-17,"CT",7780479,16.397,6531658,16.276,819620,316100,105400,1241120,15.952,16.151,84240,37200,42000,163440,84240,37200,42000,163440,2.101,915213,654355,521716,11.763,73.741,15.626,15958,1118,29680,0.205,1.775,105481,57050,96862,1.356,-4.171,12.158,654355,393497,260858,8.41,3.353,5.057,10.018,3.994,6.024,1118,14840,0.014,0.191,57050,48431,0.733,0.622,0.873,0.741,0.171,-19.93,6.032,24.751,-4.702,-1.5,-1.522,-11.833
"VC",2021-03-17,"VC",5057353,10.658,4269305,10.639,450640,205400,57800,713840,14.115,9.29,54990,24100,26100,105190,54990,24100,26100,105190,2.08,486769,332037,309464,9.625,68.19,8.311,2,2,0,0,0,49866,19478,60776,0.986,-17.432,5.748,332037,177305,154732,6.565,3.06,3.506,7.777,3.624,4.153,2,0,0,0,19478,30388,0.385,0.601,0.456,0.712,0.001,-25.289,0,-11.465,-22.021,-12.835,-23.126,-19.537
