"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-02-14,"AN",8464411,17.838,7062213,17.598,475110,34500,36300,545910,6.449,NA,0,0,0,0,74880,34500,19700,129080,1.525,448559,76249,372310,5.299,NA,17.832,8458,0.1,1.922,3746,4712,74770,0.883,4.625,16.64,262404,186155,76249,NA,NA,NA,NA,3746,4712,0.044,0.056,28214,46556,0.333,0.55,0.4,0.659,1.448,9.919,2.597,1.657,-0.034,NA,NA,NA
"AR",2021-02-14,"AR",1329391,2.802,1132764,2.823,81045,5400,6300,92745,6.977,NA,0,0,0,0,12870,5400,3400,21670,1.63,90328,17250,73078,6.795,NA,3.591,1016,0.076,1.138,576,440,16343,1.229,2.201,3.637,53789,36539,17250,NA,NA,NA,NA,576,440,0.043,0.033,3886,12456,0.292,0.937,0.343,1.1,1.082,5.655,1.219,1.153,28.158,NA,NA,NA
"AS",2021-02-14,"AS",1018784,2.147,901209,2.246,83975,4200,6300,94475,9.273,NA,0,0,0,0,14040,4200,3400,21640,2.124,79805,13220,66585,7.833,NA,3.173,680,0.067,0.859,506,174,9074,0.891,-3.938,2.019,46512,33293,13219,NA,NA,NA,NA,506,174,0.05,0.017,6339,2735,0.622,0.268,0.703,0.303,1.1,6.074,0.525,-21.182,47.788,NA,NA,NA
"IB",2021-02-14,"IB",1171543,2.469,986279,2.458,42480,4800,3200,50480,4.309,NA,0,0,0,0,7020,4800,1700,13520,1.154,42783,6790,35993,3.652,NA,1.701,1080,0.092,2.59,424,656,8496,0.725,-3.575,1.891,24786,17996,6790,NA,NA,NA,NA,422,656,0.036,0.056,2759,5735,0.236,0.49,0.28,0.581,1.732,7.605,3.783,-8.225,-31.106,NA,NA,NA
"CN",2021-02-14,"CN",2175952,4.586,1871033,4.662,93570,8900,7000,109470,5.031,NA,0,0,0,0,14040,8900,3800,26740,1.229,102909,17895,85014,4.729,NA,4.091,1796,0.083,1.776,932,864,20076,0.923,1.512,4.468,60402,42507,17895,NA,NA,NA,NA,932,864,0.043,0.04,4357,15719,0.2,0.722,0.233,0.84,1.567,22.629,2.075,-3.113,-10.794,NA,NA,NA
"CB",2021-02-14,"CB",582905,1.228,501384,1.249,39345,2400,2900,44645,7.659,NA,0,0,0,0,5850,2400,1600,9850,1.69,41565,4692,36873,7.131,NA,1.652,929,0.159,2.286,449,480,8800,1.51,-5.6,1.958,23128,18437,4691,NA,NA,NA,NA,449,480,0.077,0.082,1583,7217,0.272,1.238,0.316,1.439,1.98,14.877,2.673,-9.152,34.528,NA,NA,NA
"CL",2021-02-14,"CL",2394918,5.047,2092873,5.215,177555,9800,13500,200855,8.387,NA,0,0,0,0,28080,9800,7300,45180,1.886,183876,29226,154650,7.678,NA,7.31,2523,0.105,1.391,1577,946,26193,1.094,-3.018,5.829,106551,77325,29226,NA,NA,NA,NA,1577,946,0.066,0.04,9709,16485,0.405,0.688,0.464,0.788,1.502,3.496,1.239,-6.473,44.839,NA,NA,NA
"CM",2021-02-14,"CM",2045221,4.31,1719964,4.286,120375,8300,9200,137875,6.741,NA,0,0,0,0,18720,8300,5000,32020,1.566,123191,29560,93631,6.023,NA,4.897,2760,0.135,2.292,198,2562,19188,0.938,10.194,4.27,76376,46815,29561,NA,NA,NA,NA,198,2562,0.01,0.125,3907,15281,0.191,0.747,0.227,0.888,0.26,-4.707,5.789,14.783,13.619,NA,NA,NA
"CT",2021-02-14,"CT",7780479,16.397,6531658,16.276,410120,31800,31400,473320,6.083,NA,0,0,0,0,64350,31800,17100,113250,1.456,394001,76603,317398,5.064,NA,15.663,8741,0.112,2.269,5437,3304,79621,1.023,8,17.719,235302,158699,76603,NA,NA,NA,NA,5437,3304,0.07,0.042,37376,42245,0.48,0.543,0.572,0.647,2.365,22.572,2.126,-2.279,-4.476,NA,NA,NA
"VC",2021-02-14,"VC",5057353,10.658,4269305,10.639,207280,20600,15700,243580,4.816,NA,0,0,0,0,31590,20600,8700,60890,1.204,217885,30590,187295,4.308,NA,8.662,1938,0.038,0.897,1330,608,29875,0.591,-3.098,6.649,124237,93648,30589,NA,NA,NA,NA,1330,608,0.026,0.012,16867,13008,0.334,0.257,0.395,0.305,1.082,6.095,0.653,-12.885,-18.728,NA,NA,NA
