"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-06,"AN",8464411,17.838,7062213,17.598,140295,0,0,140295,1.657,NA,0,0,0,0,140295,0,0,140295,1.657,47098,47098,0,0.556,NA,27.172,6835,0.081,16.976,6835,0,47098,0.556,16.976,27.172,47098,0,47098,0.556,0,NA,NA,6835,0,0.081,0,47098,0,0.556,0,0.667,0,16.976,16.976,NA,NA,52.326,NA,52.329,NA
"AR",2021-01-06,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,NA,0,0,0,0,23715,0,0,23715,1.784,4586,4586,0,0.345,NA,2.646,1601,0.12,53.635,1601,0,4586,0.345,53.635,2.646,4586,0,4586,0.345,0,NA,NA,1601,0,0.12,0,4586,0,0.345,0,0.405,0,53.635,53.635,NA,NA,-5.567,NA,-5.479,NA
"AS",2021-01-06,"AS",1018784,2.147,901209,2.246,23720,0,0,23720,2.328,NA,0,0,0,0,23720,0,0,23720,2.328,13668,13668,0,1.342,NA,7.885,739,0.073,5.716,739,0,13668,1.342,5.716,7.885,13668,0,13668,1.342,0,NA,NA,739,0,0.073,0,13668,0,1.342,0,1.517,0,5.716,5.716,NA,NA,267.257,NA,267.671,NA
"IB",2021-01-06,"IB",1171543,2.469,986279,2.458,12840,0,0,12840,1.096,NA,0,0,0,0,12840,0,0,12840,1.096,2923,2923,0,0.25,NA,1.686,267,0.023,10.053,267,0,2923,0.25,10.053,1.686,2923,0,2923,0.25,0,NA,NA,267,0,0.023,0,2923,0,0.25,0,0.296,0,10.053,10.053,NA,NA,-31.713,NA,-31.507,NA
"CN",2021-01-06,"CN",2175952,4.586,1871033,4.662,27660,0,0,27660,1.271,NA,0,0,0,0,27660,0,0,27660,1.271,6594,6594,0,0.303,NA,3.804,737,0.034,12.583,737,0,6594,0.303,12.583,3.804,6594,0,6594,0.303,0,NA,NA,737,0,0.034,0,6594,0,0.303,0,0.352,0,12.583,12.583,NA,NA,-17.052,NA,-16.986,NA
"CB",2021-01-06,"CB",582905,1.228,501384,1.249,11850,0,0,11850,2.033,NA,0,0,0,0,11850,0,0,11850,2.033,1082,1082,0,0.186,NA,0.624,481,0.083,80.033,481,0,1082,0.186,80.033,0.624,1082,0,1082,0.186,0,NA,NA,481,0,0.083,0,1082,0,0.186,0,0.216,0,80.033,80.033,NA,NA,-49.186,NA,-49.041,NA
"CL",2021-01-06,"CL",2394918,5.047,2092873,5.215,51390,0,0,51390,2.146,NA,0,0,0,0,51390,0,0,51390,2.146,19266,19266,0,0.804,NA,11.115,2836,0.118,17.261,2836,0,19266,0.804,17.261,11.115,19266,0,19266,0.804,0,NA,NA,2836,0,0.118,0,19266,0,0.804,0,0.921,0,17.261,17.261,NA,NA,120.23,NA,120.274,NA
"CM",2021-01-06,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,NA,0,0,0,0,35550,0,0,35550,1.738,5879,5879,0,0.287,NA,3.392,1787,0.087,43.671,1787,0,5879,0.287,43.671,3.392,5879,0,5879,0.287,0,NA,NA,1787,0,0.087,0,5879,0,0.287,0,0.342,0,43.671,43.671,NA,NA,-21.299,NA,-21.37,NA
"CT",2021-01-06,"CT",7780479,16.397,6531658,16.276,120545,0,0,120545,1.549,NA,0,0,0,0,120545,0,0,120545,1.549,17853,17853,0,0.229,NA,10.3,6662,0.086,59.53,6662,0,17853,0.229,59.53,10.3,17853,0,17853,0.229,0,NA,NA,6662,0,0.086,0,17853,0,0.229,0,0.273,0,59.53,59.53,NA,NA,-37.184,NA,-37.26,NA
"VC",2021-01-06,"VC",5057353,10.658,4269305,10.639,61225,0,0,61225,1.211,NA,0,0,0,0,61225,0,0,61225,1.211,10132,10132,0,0.2,NA,5.845,1546,0.031,18.006,1546,0,10132,0.2,18.006,5.845,10132,0,10132,0.2,0,NA,NA,1546,0,0.031,0,10132,0,0.2,0,0.237,0,18.006,18.006,NA,NA,-45.159,NA,-45.205,NA
