"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-03-13,"AN",8464411,17.838,7062213,17.598,820260,303300,73300,1196860,14.14,NA,0,0,0,0,80730,94700,0,175430,2.073,1063808,395724,668084,12.568,NA,19.519,17474,0.206,1.67,6051,11423,167091,1.974,-0.624,18.6,729766,334042,395724,NA,NA,NA,NA,6051,11423,0.071,0.135,80983,86108,0.957,1.017,1.147,1.219,0.836,-9.587,3.541,9.594,9.424,NA,NA,NA
"AR",2021-03-13,"AR",1329391,2.802,1132764,2.823,147735,47600,12600,207935,15.641,NA,0,0,0,0,17550,14900,0,32450,2.441,175805,62546,113259,13.224,NA,3.226,2294,0.173,1.322,1372,922,24320,1.829,6.294,2.707,119175,56630,62545,NA,NA,NA,NA,1372,922,0.103,0.069,17441,6879,1.312,0.517,1.54,0.607,1.165,4.412,1.655,11.383,15.132,NA,NA,NA
"AS",2021-03-13,"AS",1018784,2.147,901209,2.246,144815,36600,12700,194115,19.054,NA,0,0,0,0,16380,11400,0,27780,2.727,154989,49010,105979,15.213,NA,2.844,4252,0.417,2.821,2493,1759,24833,2.438,12.836,2.764,101999,52990,49009,NA,NA,NA,NA,2493,1759,0.245,0.173,15835,8998,1.554,0.883,1.757,0.998,2.505,9.456,3.433,19.321,32.464,NA,NA,NA
"IB",2021-03-13,"IB",1171543,2.469,986279,2.458,76410,41900,6500,124810,10.653,NA,0,0,0,0,10530,13100,0,23630,2.017,103886,44773,59113,8.867,NA,1.906,2299,0.196,2.263,1501,798,26086,2.227,-3.346,2.904,74329,29557,44772,NA,NA,NA,NA,1501,798,0.128,0.068,20626,5459,1.761,0.466,2.091,0.553,2.061,-6.939,2.775,13.14,-22.803,NA,NA,NA
"CN",2021-03-13,"CN",2175952,4.586,1871033,4.662,167280,78000,14300,259580,11.929,NA,0,0,0,0,18720,24300,0,43020,1.977,205723,82595,123128,9.454,NA,3.775,4769,0.219,2.373,3720,1049,35431,1.628,6.874,3.944,144159,61564,82595,NA,NA,NA,NA,3720,1049,0.171,0.048,28577,6855,1.313,0.315,1.527,0.366,2.649,4.916,1.733,15.911,-17.684,NA,NA,NA
"CB",2021-03-13,"CB",582905,1.228,501384,1.249,70935,20800,5900,97635,16.75,NA,0,0,0,0,8190,6500,0,14690,2.52,75761,27632,48129,12.997,NA,1.39,1014,0.174,1.357,520,494,8720,1.496,6.445,0.971,51696,24065,27631,NA,NA,NA,NA,520,494,0.089,0.085,5495,3225,0.943,0.553,1.096,0.643,1.016,2.138,2.096,14.687,13.192,NA,NA,NA
"CL",2021-03-13,"CL",2394918,5.047,2092873,5.215,324975,85800,27300,438075,18.292,NA,0,0,0,0,39780,26800,0,66580,2.78,359262,124835,234427,15.001,NA,6.592,5862,0.245,1.659,3606,2256,61322,2.561,2.841,6.826,242049,117213,124836,NA,NA,NA,NA,3606,2256,0.151,0.094,42508,18813,1.775,0.786,2.031,0.899,1.512,0.148,1.962,9.486,30.612,NA,NA,NA
"CM",2021-03-13,"CM",2045221,4.31,1719964,4.286,215145,73300,18600,307045,15.013,NA,0,0,0,0,24570,22900,0,47470,2.321,233049,75793,157256,11.395,NA,4.276,1802,0.088,0.779,1396,406,35416,1.732,-0.324,3.942,154421,78628,75793,NA,NA,NA,NA,1396,406,0.068,0.02,28965,6451,1.416,0.315,1.684,0.375,0.912,-1.039,0.519,3.018,-0.789,NA,NA,NA
"CT",2021-03-13,"CT",7780479,16.397,6531658,16.276,735380,278900,63400,1077680,13.851,NA,0,0,0,0,84240,87000,0,171240,2.201,867274,402831,464443,11.147,NA,15.913,10238,0.132,1.195,5194,5044,119402,1.535,-2.323,13.291,635053,232222,402831,NA,NA,NA,NA,5195,5044,0.067,0.065,83489,35914,1.073,0.462,1.278,0.55,0.825,-5.178,2.22,5.03,-2.952,NA,NA,NA
"VC",2021-03-13,"VC",5057353,10.658,4269305,10.639,395650,181300,31700,608650,12.035,NA,0,0,0,0,54990,56600,0,111590,2.206,470544,177459,293085,9.304,NA,8.634,4955,0.098,1.064,1517,3438,76526,1.513,6.92,8.518,324001,146543,177458,NA,NA,NA,NA,1517,3438,0.03,0.068,43059,33467,0.851,0.662,1.009,0.784,0.47,3.649,2.402,11.445,-18.99,NA,NA,NA
