"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_primera","dosis_diarias_pauta_completa","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_primera","dosis_7D_pauta_completa","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-04-08,"AN",8464411,17.838,7062213,17.598,1283580,564800,168000,2016380,23.822,16.812,0,0,0,0,184860,183200,0,368060,4.348,1699464,1167951,1063026,20.078,84.283,17.321,77275,74428,5694,0.913,4.764,215596,198715,33762,2.547,19.262,14.673,1167951,636438,531513,13.798,6.279,7.519,16.538,7.526,9.012,74428,2847,0.879,0.034,198715,16881,2.348,0.199,2.814,0.239,6.806,24.556,0.539,-20.508,-2.898,-5.752,-3.591,-1.351
"AR",2021-04-08,"AR",1329391,2.802,1132764,2.823,250695,88700,35300,374695,28.185,3.124,0,0,0,0,40950,28800,0,69750,5.247,290838,190792,200092,21.878,77.62,2.964,14280,12124,4312,1.074,5.163,31936,25517,12838,2.402,21.805,2.173,190792,90746,100046,14.352,7.526,6.826,16.843,8.832,8.011,12124,2156,0.912,0.162,25517,6419,1.919,0.483,2.253,0.567,6.786,44.925,2.202,-25.464,5.782,11.492,0.279,18.24
"AS",2021-04-08,"AS",1018784,2.147,901209,2.246,241925,68000,32700,342625,33.631,2.857,0,0,0,0,38610,22000,0,60610,5.949,272976,177895,190162,26.794,79.672,2.782,8478,8175,606,0.832,3.205,38485,33008,10954,3.778,-0.254,2.619,177895,82814,95081,17.462,9.333,8.129,19.74,10.55,9.189,8175,303,0.802,0.03,33008,5477,3.24,0.538,3.663,0.608,4.817,6.829,0.32,-28.731,29.576,33.069,22.01,46.63
"IB",2021-04-08,"IB",1171543,2.469,986279,2.458,140760,78000,18000,236760,20.209,1.974,4680,0,0,4680,28080,25300,0,53380,4.556,190732,137310,106844,16.28,80.559,1.944,9290,6811,4958,0.793,5.12,29848,21935,15826,2.548,45.189,2.031,137310,83888,53422,11.72,4.56,7.16,13.922,5.417,8.506,6811,2479,0.581,0.212,21935,7913,1.872,0.675,2.224,0.802,5.219,45.034,4.866,45.62,-21.264,-20.049,-18.111,-28.358
"CN",2021-04-08,"CN",2175952,4.586,1871033,4.662,276090,145200,35800,457090,21.006,3.811,0,0,0,0,43290,47100,0,90390,4.154,355871,242373,226996,16.355,77.856,3.627,16560,13290,6540,0.761,4.88,40704,35799,9810,1.871,16.025,2.77,242373,128875,113498,11.139,5.216,5.923,12.954,6.066,6.888,13290,3270,0.611,0.15,35799,4905,1.645,0.225,1.913,0.262,5.801,21.082,2.967,-11.077,-20.911,-16.899,-22.17,-18.052
"CB",2021-04-08,"CB",582905,1.228,501384,1.249,115395,38800,15300,169495,29.078,1.413,0,0,0,0,17550,12600,0,30150,5.172,128539,83577,89924,22.051,75.836,1.31,1249,1248,2,0.214,0.981,14459,13553,1812,2.481,9.455,0.984,83577,38615,44962,14.338,7.713,6.625,16.669,8.968,7.702,1248,1,0.214,0,13553,906,2.325,0.155,2.703,0.181,1.516,10.142,0.002,0.11,6.678,15.065,0.182,21.178
"CL",2021-04-08,"CL",2394918,5.047,2092873,5.215,555465,159900,78300,793665,33.14,6.617,0,0,0,0,92430,51800,0,144230,6.022,629472,404270,450404,26.284,79.312,6.416,18899,13978,9842,0.789,3.095,75218,57380,35676,3.141,-1.597,5.119,404270,179068,225202,16.88,9.403,7.477,19.317,10.76,8.556,13978,4921,0.584,0.205,57380,17838,2.396,0.745,2.742,0.852,3.581,5.824,2.234,-19.71,27.125,31.108,17.943,47.73
"CM",2021-04-08,"CM",2045221,4.31,1719964,4.286,356715,136400,49600,542715,26.536,4.525,0,0,0,0,56160,44200,0,100360,4.907,444254,298755,290998,21.722,81.858,4.528,20935,14051,13768,1.024,4.945,88169,65524,45290,4.311,31.138,6,298755,153256,145499,14.607,7.114,7.493,17.37,8.459,8.91,14051,6884,0.687,0.337,65524,22645,3.204,1.107,3.81,1.317,4.935,27.298,4.966,43.677,5.058,4.988,2.061,11.767
"CT",2021-04-08,"CT",7780479,16.397,6531658,16.276,1220930,519100,168400,1908430,24.528,15.912,0,0,0,0,193050,168300,0,361350,4.644,1592571,1144075,896992,20.469,83.449,16.232,87877,81869,12016,1.129,5.84,239514,222527,33974,3.078,4.25,16.3,1144075,695579,448496,14.704,5.764,8.94,17.516,6.866,10.649,81869,6008,1.052,0.077,222527,16987,2.86,0.218,3.407,0.26,7.707,6.827,1.358,-20.788,-1.006,-2.958,2.739,-9.442
"VC",2021-04-08,"VC",5057353,10.658,4269305,10.639,711550,337500,96800,1145850,22.657,9.554,0,0,0,0,125190,109400,0,234590,4.639,991439,713678,555522,19.604,86.524,10.105,65363,50462,29802,1.292,7.058,169903,149285,41236,3.36,7.63,11.563,713678,435917,277761,14.112,5.492,8.619,16.716,6.506,10.21,50462,14901,0.998,0.295,149285,20618,2.952,0.408,3.497,0.483,7.609,1.892,5.669,81.72,-5.189,-10.358,-1.397,-13.716
