"ccaa","fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
"AN",2021-01-21,"AN",8464411,17.838,7062213,17.598,244620,0,6800,251420,2.97,18.678,0,0,0,0,35100,0,0,35100,0.415,194101,163715,30386,2.293,77.202,17.593,19822,0.234,11.374,9197,10625,70642,0.835,9.611,16.539,178908,15193,163715,2.114,0.179,2.533,0.215,9197,10625,0.109,0.126,55449,15193,0.655,0.179,0.785,0.215,5.419,-7.4,232.596,232.596,-1.373,4.709,-4.86,73.786
"AR",2021-01-21,"AR",1329391,2.802,1132764,2.823,41265,0,1200,42465,3.194,3.155,0,0,0,0,5850,0,0,5850,0.44,38170,34708,3462,2.871,89.886,3.46,4436,0.334,13.15,3328,1108,17316,1.303,3.745,4.054,36439,1731,34708,2.741,0.13,3.217,0.153,3328,1108,0.25,0.083,15585,1731,1.172,0.13,1.376,0.153,10.051,-3.006,177.849,177.849,23.483,12.598,23.357,26.214
"AS",2021-01-21,"AS",1018784,2.147,901209,2.246,44195,0,1200,45395,4.456,3.372,0,0,0,0,8775,0,0,8775,0.861,40011,28683,11328,3.927,88.14,3.626,3957,0.388,10.975,-20,3977,10937,1.074,1.494,2.561,34347,5664,28683,3.371,0.556,3.811,0.628,-20,3977,-0.002,0.39,5273,5664,0.518,0.556,0.585,0.628,-0.058,-41.985,235.744,235.744,68.887,57.056,51.71,439.806
"IB",2021-01-21,"IB",1171543,2.469,986279,2.458,22590,0,600,23190,1.979,1.723,0,0,0,0,9750,0,0,9750,0.832,18105,15077,3028,1.545,78.072,1.641,2408,0.206,15.341,1061,1347,10553,0.901,-1.978,2.471,16591,1514,15077,1.416,0.129,1.682,0.154,1061,1347,0.091,0.115,9039,1514,0.772,0.129,0.916,0.154,6.832,-14.718,806.587,806.587,-33.536,-30.215,-36.274,25.243
"CN",2021-01-21,"CN",2175952,4.586,1871033,4.662,46185,0,1300,47485,2.182,3.528,0,0,0,0,4875,0,0,4875,0.224,45482,41994,3488,2.09,95.782,4.122,1883,0.087,4.319,478,1405,20323,0.934,-4.627,4.758,43738,1744,41994,2.01,0.08,2.338,0.093,478,1405,0.022,0.065,18579,1744,0.854,0.08,0.993,0.093,1.105,-11.402,414.454,414.454,-10.118,-23.07,-9.541,-22.33
"CB",2021-01-21,"CB",582905,1.228,501384,1.249,20625,0,500,21125,3.624,1.569,0,0,0,0,2925,0,0,2925,0.502,19980,19498,482,3.428,94.58,1.811,507,0.087,2.604,266,241,7201,1.235,-11.871,1.686,19739,241,19498,3.386,0.041,3.937,0.048,266,241,0.046,0.041,6960,241,1.194,0.041,1.388,0.048,1.366,-14.821,Inf,Inf,47.476,27.769,52.385,-60.194
"CL",2021-01-21,"CL",2394918,5.047,2092873,5.215,93315,0,2500,95815,4.001,7.118,0,0,0,0,16575,0,0,16575,0.692,82162,71570,10592,3.431,85.751,7.447,7812,0.326,10.507,3149,4663,24193,1.01,-7.331,5.664,76866,5296,71570,3.21,0.221,3.673,0.253,3149,4663,0.131,0.195,18897,5296,0.789,0.221,0.903,0.253,4.272,-25.818,736.651,736.651,47.553,41.034,44.464,114.563
"CM",2021-01-21,"CM",2045221,4.31,1719964,4.286,61875,0,1700,63575,3.108,4.723,0,0,0,0,8775,0,0,8775,0.429,53880,51476,2404,2.634,84.75,4.884,5125,0.251,10.512,4118,1007,23267,1.138,6.359,5.447,52678,1202,51476,2.576,0.059,3.063,0.07,4118,1007,0.201,0.049,22065,1202,1.079,0.059,1.283,0.07,8.48,1.771,516.41,516.41,13.318,9.582,15.932,-42.718
"CT",2021-01-21,"CT",7780479,16.397,6531658,16.276,211220,0,5800,217020,2.789,16.122,0,0,0,0,31200,0,0,31200,0.401,168054,162858,5196,2.16,77.437,15.232,5224,0.067,3.208,3539,1685,62467,0.803,-11.641,14.625,165456,2598,162858,2.127,0.033,2.533,0.04,3539,1685,0.045,0.022,59869,2598,0.769,0.033,0.917,0.04,2.186,-14.208,184.556,184.556,-7.105,-1.677,-4.275,-67.961
"VC",2021-01-21,"VC",5057353,10.658,4269305,10.639,109000,0,2900,111900,2.213,8.313,0,0,0,0,17550,0,0,17550,0.347,101437,95525,5912,2.006,90.65,9.194,1505,0.03,1.506,286,1219,21008,0.415,-27.713,4.919,98481,2956,95525,1.947,0.058,2.307,0.069,286,1219,0.006,0.024,18052,2956,0.357,0.058,0.423,0.069,0.291,-33.936,70.178,70.178,-13.736,-22.002,-12.376,-43.689
